P78325	Q5T0N5
Q6UWF3	P41240
P12314	P01857
Q08345	P20936
Q08345	P46108
Q08345	Q9UKW4
Q08345	O15357
Q08345	P19174
Q08345	P52735
Q99835	P63096
P05067	Q9CR16
Q08345	Q8WX93
Q08345	P51692
P16471	P01241
P49768	O43264
P49768	Q9UIV1
P49768	Q15366
P49768	P46379
P49768	Q15006
P49768	Q12788
P49768	P63208
P49768	Q9NR31
P49768	P63173
P49768	P46060
P49768	Q13200
P49768	O00487
P49768	P17980
P49768	P35998
P49768	P28074
P49768	P49721
P49768	P20618
P49768	O14818
P49768	P60900
P49768	P28066
P49768	P25789
P49768	P25787
P49768	P58340
P49768	O15479
P49768	P04792
P49768	P11142
P49768	P11021
P49768	Q96CS3
P49768	Q04637
P49768	Q99615
P49768	Q9UBS4
P49768	O60884
P49768	P31689
P49768	Q9UHI6
P49768	O43402
P49768	Q9HD42
P49768	P42771
P49768	O95816
P49768	P40616
P49768	P18085
P04921	Q00013
P59596	P54132
P59596	P01031
P59596	O94919
P59596	Q9NY27
P59596	Q9NV66
P59596	Q9BSH4
P59596	Q03135
P59596	P51636
P59596	O75943
P59596	A4D1U4
P13569	Q9H4K7
P13569	P55290
P13569	P08582
P13569	O75695
P13569	O15061
P13569	Q5JWF2
P13569	P63092
P13569	Q9Y6M1
P13569	Q9Y678
P13569	Q9Y608
P13569	Q9Y4I1
P13569	Q9Y446
P13569	Q9Y3U8
P13569	Q9Y3L5
P13569	Q9Y3A3
P13569	Q9Y383
P13569	Q9Y305
P13569	Q9Y2W1
P13569	Q9Y266
P13569	Q9UPQ0
P13569	Q9UM54
P13569	Q9ULV4
P13569	Q9ULV0
P13569	Q9UL46
P13569	Q9UKM9
P13569	Q9UKK3
P13569	Q9UHV9
P13569	Q9UHB6
P13569	Q9UDY2
P13569	Q9UBQ5
P13569	Q9UBI6
P13569	Q9P258
P13569	Q9P0K7
P13569	Q9NZT1
P13569	Q9NYL9
P13569	Q9NYF8
P13569	Q9NVV9
P13569	Q9NRR5
P13569	Q9NRF8
P13569	Q9NR12
P13569	Q9NQY0
P13569	Q9NQX4
P13569	Q9NQH7
P13569	Q9H773
P13569	Q9H6S3
P13569	Q9H4H8
P13569	Q9H3U1
P13569	Q9H2F9
P13569	Q9GZZ1
P13569	Q9BZF9
P13569	Q9BRP1
P13569	Q9BQG0
P13569	Q9BQE3
P13569	Q9BPX5
P13569	Q99959
P13569	Q99829
P13569	Q99623
P13569	Q99497
P13569	Q96TA1
P13569	Q96S55
P13569	Q96PK6
P13569	Q96P70
P13569	Q96J02
P13569	Q96IZ0
P13569	Q96HC4
P13569	Q96FW1
P13569	Q92747
P13569	Q92522
P13569	Q8WX93
P13569	Q8WWI1
P13569	Q8NEZ5
P13569	Q8NC51
P13569	Q8IZ41
P13569	Q86V81
P13569	Q7Z6L1
P13569	Q7Z406
P13569	Q76I76
P13569	Q6ZVM7
P13569	Q6WCQ1
P13569	Q6P9F0
P13569	Q6NZI2
P13569	Q69YQ0
P13569	Q5SRE5
P13569	Q562R1
P13569	Q53GT1
P13569	Q3ZCM7
P13569	Q16658
P13569	Q16643
P13569	Q15654
P13569	Q15645
P13569	Q15393
P13569	Q15370
P13569	Q15366
P13569	Q15365
P13569	Q15233
P13569	Q15075
P13569	Q14764
P13569	Q14697
P13569	Q14498
P13569	Q14257
P13569	Q14254
P13569	Q14247
P13569	Q13501
P13569	Q13200
P13569	Q13155
P13569	Q13045
P13569	Q12904
P13569	Q08J23
P13569	Q08211
P13569	Q07020
P13569	Q06830
P13569	Q05682
P13569	Q05639
P13569	Q05397
P13569	Q04760
P13569	Q02878
P13569	Q02543
P13569	Q02218
P13569	Q01995
P13569	Q01813
P13569	Q00839
P13569	Q00610
P13569	P84103
P13569	P84098
P13569	P84090
P13569	P84085
P13569	P83731
P13569	P80748
P13569	P78371
P13569	P68371
P13569	P68366
P13569	P67936
P13569	P67809
P13569	P63244
P13569	P63208
P13569	P63173
P13569	P63151
P13569	P63104
P13569	P63000
P13569	P62937
P13569	P62917
P13569	P62913
P13569	P62910
P13569	P62906
P13569	P62899
P13569	P62888
P13569	P62879
P13569	P62873
P13569	P62851
P13569	P62841
P13569	P62829
P13569	P62826
P13569	P62805
P13569	P62753
P13569	P62701
P13569	P62633
P13569	P62424
P13569	P62280
P13569	P62277
P13569	P62273
P13569	P62269
P13569	P62266
P13569	P62263
P13569	P62258
P13569	P62249
P13569	P62244
P13569	P62241
P13569	P62191
P13569	P0DP25
P13569	P61978
P13569	P61604
P13569	P61353
P13569	P61313
P13569	P61247
P13569	P61160
P13569	P61158
P13569	P60981
P13569	P60953
P13569	P60900
P13569	P60866
P13569	P60660
P13569	P60174
P13569	P59998
P13569	P58546
P13569	P56545
P13569	P55265
P13569	P55084
P13569	P55060
P13569	P53814
P13569	P53621
P13569	P53396
P13569	P52907
P13569	P52272
P13569	P50991
P13569	P50990
P13569	P50914
P13569	P50454
P13569	P49773
P13569	P49411
P13569	P49207
P13569	P49023
P13569	P47914
P13569	P47897
P13569	P47756
P13569	P47755
P13569	P46940
P13569	P46934
P13569	P46783
P13569	P46782
P13569	P46781
P13569	P46779
P13569	P46778
P13569	P46776
P13569	P43686
P13569	P43490
P13569	P42766
P13569	P39023
P13569	P39019
P13569	P38646
P13569	P38606
P13569	P37802
P13569	P36578
P13569	P36542
P13569	P35749
P13569	P35580
P13569	P35232
P13569	P33993
P13569	P32969
P13569	P32119
P13569	P31947
P13569	P31944
P13569	P31943
P13569	P31689
P13569	P31153
P13569	P30050
P13569	P30048
P13569	P28799
P13569	P28290
P13569	P27635
P13569	P27348
P13569	P26641
P13569	P26599
P13569	P26373
P13569	P25705
P13569	P25398
P13569	P24844
P13569	P23528
P13569	P23526
P13569	P23396
P13569	P23246
P13569	P22626
P13569	P22087
P13569	P22061
P13569	P21980
P13569	P21589
P13569	P21291
P13569	P20700
P13569	P19474
P13569	P19338
P13569	P19105
P13569	P18621
P13569	P18124
P13569	P17858
P13569	P17844
P13569	P17812
P13569	P17655
P13569	P16401
P13569	P15880
P13569	P15311
P13569	P15121
P13569	P14923
P13569	P14868
P13569	P14866
P13569	P14649
P13569	P14625
P13569	P14618
P13569	P14174
P13569	P13987
P13569	P13796
P13569	P13667
P13569	P13639
P13569	P13010
P13569	P12814
P13569	P12004
P13569	P11586
P13569	P11142
P13569	P10809
P13569	P10599
P13569	P0CG39
P13569	P09936
P13569	P09651
P13569	P09493
P13569	P09429
P13569	P09382
P13569	P09211
P13569	P08865
P13569	P08708
P13569	P08238
P13569	P08174
P13569	P07951
P13569	P07947
P13569	P07900
P13569	P07737
P13569	P07437
P13569	P07355
P13569	P07237
P13569	P06753
P13569	P06748
P13569	P06733
P13569	P06703
P13569	P06702
P13569	P06576
P13569	P06396
P13569	P05388
P13569	P05386
P13569	P05121
P13569	P04899
P13569	P04792
P13569	P04637
P13569	P04433
P13569	P04406
P13569	P04216
P13569	P04156
P13569	P04080
P13569	P02545
P13569	P01860
P13569	P01857
P13569	P01834
P13569	P01714
P13569	P01619
P13569	P01599
P13569	P00338
P13569	O94832
P13569	O75955
P13569	O75521
P13569	O43795
P13569	O43708
P13569	O43707
P13569	O43670
P13569	O15372
P13569	O15145
P13569	O15144
P13569	O15143
P13569	O14980
P13569	O14979
P13569	O14974
P13569	O14950
P13569	O00622
P13569	O00571
P13569	O00159
P13569	O00154
P13569	B9A064
P13569	B0I1T2
P13569	A1L390
P13569	P53004
P13569	Q9Y4L1
P13569	Q9Y3Y2
P13569	Q9Y3F4
P13569	Q9ULA0
P13569	Q9UJW0
P13569	Q9NR30
P13569	Q9NQG5
P13569	Q9NPH2
P13569	Q9BUF5
P13569	Q9BU76
P13569	Q9BR76
P13569	Q99832
P13569	Q96EP5
P13569	Q96CS3
P13569	Q8TA86
P13569	Q8N3E9
P13569	Q6UWP8
P13569	Q6PID8
P13569	Q60I27
P13569	Q5T280
P13569	Q58FF8
P13569	Q53HC5
P13569	Q16763
P13569	Q16531
P13569	Q16527
P13569	Q15417
P13569	Q15369
P13569	Q15185
P13569	Q15181
P13569	Q15084
P13569	Q14974
P13569	Q13637
P13569	Q13162
P13569	Q12965
P13569	Q12906
P13569	Q08380
P13569	Q01518
P13569	Q01105
P13569	P68036
P13569	P63167
P13569	P62857
P13569	P61163
P13569	P61106
P13569	P56537
P13569	P56192
P13569	P55786
P13569	P55072
P13569	P54727
P13569	P49368
P13569	P48643
P13569	P42677
P13569	P42574
P13569	P40926
P13569	P40616
P13569	P40227
P13569	P37108
P13569	P35659
P13569	P34897
P13569	P33176
P13569	P32455
P13569	P31949
P13569	P31946
P13569	P31151
P13569	P31150
P13569	P31040
P13569	P30566
P13569	P30153
P13569	P30041
P13569	P29966
P13569	P29401
P13569	P28482
P13569	P26583
P13569	P24666
P13569	P21266
P13569	P18669
P13569	P18206
P13569	P16152
P13569	P13797
P13569	P12429
P13569	P11233
P13569	P09972
P13569	P07195
P13569	P05387
P13569	P05109
P13569	P04083
P13569	P04075
P13569	P01703
P13569	P00568
P13569	P00505
P13569	P00492
P13569	O60716
P13569	A6NHL2
P56817	P10997
P56817	P12968
P78325	P14598
P05067	P49840
P78325	Q15642
P04626	P29350
Q08345	P40763
P11362	P09038
P00403	Q92743
Q9NVI7	P01116
P57088	P01116
Q9H936	P01116
P13569	P07814
P13569	P01743
P13569	O95433
P13569	O60506
P13569	O43852
P13569	O00410
P13569	O00232
P13569	A6NCN2
P13569	Q9UGI8
P13569	Q9H4M9
P13569	Q92499
P13569	Q5VT79
P13569	P60903
P13569	P52597
P13569	P49711
P13569	P33992
P13569	P30085
P13569	P30084
P13569	P07910
P13569	Q9Y3Z3
P13569	Q96PU5
P34998	P04899
P05067	P12246
P78325	Q9Y5X1
P26006	Q9CYA0
P30989	P59768
P30989	P62873
P30989	P63096
Q08345	P42338
Q08345	P27986
Q08345	P15311
Q08345	Q06124
Q08345	O00459
P61009	P54253
Q66K14	P54253
Q9NPA0	P54253
P78325	P12931
P0AGI1	P02925
Q08345	Q92835
Q08345	P07947
O95259	P0DP25
P75958	P75957
P0ADC3	P75957
P56817	Q9H1R3
P56817	P25705
P56817	P07237
P56817	P62937
P56817	P23284
P56817	P11021
P56817	P30101
P56817	P27797
P78325	P42680
P05067	Q9EQG9
P78325	Q8WV41
P05067	P13861
P05067	Q8TD31
P05067	Q96DT7
P05067	Q16851
P05067	Q9GZT3
P05067	P05386
P05067	P05388
P05067	Q9UNX3
P05067	P62906
P05067	Q9UNZ2
P05067	Q9Y221
P05067	Q9HCE1
P05067	P42704
P05067	P10606
P05067	Q8NFW1
P05067	Q9Y3Y2
P05067	P0C0L4
P05067	P36404
P05067	P84085
Q08345	Q92569
Q08345	O00329
Q08345	P42336
Q08345	P42224
Q08345	P41240
Q08345	P07948
Q08345	P12931
Q08345	P06241
Q08345	P16333
Q08345	O43639
Q76KP1	Q92743
Q02978	P01116
Q8WVX9	P01116
Q02413	P01116
P28288	P01116
P53007	P01116
P61619	P01116
Q9H9S3	P01116
Q13445	P01116
Q3ZCQ8	P01116
Q53GQ0	P01116
Q969V3	P01116
Q9HD45	P01116
Q9NX61	P01116
Q9UBX3	P01116
P78325	Q92882
P08069	P35236
P08069	Q05209
Q6UWF3	P62993
Q6UWF3	Q8WV28
Q08345	P29353
P05067	O35431
O15427	P01116
P21926	P01116
P26006	P01116
Q01650	P01116
P47985	P01116
Q5JTV8	P01116
Q9NS69	P01116
Q9Z2B5	Q9QXT0
P15529	P05156
P08069	P29350
P00533	Q9WUD9
P00533	Q8CFN2
O60241	P19086
Q9BYF1	P01042
Q9UQF0	P83105
O60241	P63096
Q00325	P01116
P10620	P01116
P50402	P01116
P22607	P09038
K9N5Q8	P05132
K9N5Q8	P14635
K9N5Q8	P06493
P13569	A8MQ03
P00533	Q62985
P00533	Q64725
P00533	Q9WVR3
P00533	D4A631
P22607	P31371
P21802	Q06124
P29274	P0DP25
P18433	P62993
P24394	P35568
P05067	P08253
P06624	P0DP25
P01130	P30533
O35158	Q01721
O14525	Q14145
O95292	P04406
O94901	P02545
P06729	O95400
P01130	P02649
Q13651	Q9Y297
P59637	O00560
P25445	P0DP25
P56817	Q9UJY5
Q22397	G5EDM4
Q7Z434	Q9Y4K3
P35670	Q8N668
P30518	P29067
Q61727	Q9Y297
P56962	O00161
Q8TAA9	Q60838
P10912	P01241
P97287	Q9JM54
P21802	Q05209
P59596	P59595
P04626	P29353
Q15303	Q05209
P04626	Q06124
P59637	P59595
Q9H2S1	P0DP25
Q9Z2B5	Q6ZWX6
Q9Y5Z0	P10997
Q9BXM7	P61006
P05067	P14780
Q5SQ64	Q14451
P35414	P25098
O43490	Q9UBN7
Q70UQ0	P15173
O43889	P43378
Q9UL19	O43765
O43889	Q92520
O43889	P02652
P21802	P09038
Q9BRI3	P13236
O43889	Q96CM8
Q96JN2	Q96BZ8
Q6RW13	Q8IWL3
O14653	Q96FA3
Q9BTV4	Q3SXY8
Q5SQ64	P62993
O60241	Q99962
Q9XWD6	O76337
O15031	P61587
Q08554	Q8NA72
Q8TAA9	Q61062
O43889	P01374
Q96JN2	O95990
P00533	Q9QZC5
Q9UHJ9	A8MQ03
O43759	Q96T60
Q9UBN6	Q9P2R7
O14653	P31937
Q9UKF2	P07339
O14525	Q16236
O43889	Q15382
O43889	P09601
O43889	P18859
O43889	P30519
P04843	Q9UMX0
Q6PJW8	Q9HAT0
Q969F0	Q9BT40
Q9NZ01	Q00059
Q6RW13	Q9P2R7
Q8WV19	Q96T60
Q9NZ01	P27105
Q8TAA9	P51141
P18405	O95273
O43889	P23560
O75069	Q8NA54
Q8WZA1	Q8TBB1
Q96PC5	Q8TD31
Q13277	Q9H115
Q969L2	Q9P2R7
Q9UKJ1	P0C0L4
Q06418	P26371
P05496	Q86WT6
O43889	P22307
Q969L2	P43378
P40189	Q96EQ0
Q9UMD9	Q96T60
Q96DZ9	Q9P2R7
Q15041	Q9P2R7
Q9NS64	Q96T60
Q8WUU8	O95817
P00533	P50904
P00533	Q5U2U2
P00533	P32577
P00533	P41499
Q8N6U8	P10644
Q8IWV1	Q14451
Q6RW13	Q96CM8
P00533	Q63768
P00533	P54100
Q13563	P43361
Q6RW13	O60225
Q96DZ9	P34897
Q9UGQ2	Q96T60
Q9UPQ8	Q92624
Q9XWD6	Q9UBP9
Q9NVI7	O00429
O43889	Q99675
Q5T9L3	P56704
Q96DZ9	Q96CM8
Q9NWS6	Q70IA8
Q9NWS6	Q8TBB1
Q8WW34	Q96T60
Q9NZ01	Q3SXY8
O14653	Q3SXY8
Q8IVP5	Q08426
Q15041	Q96CM8
Q7DB77	Q60598
Q02763	Q06124
Q15303	P35236
P35968	Q06124
P97287	Q99ML1
P04626	Q15773
B7UM99	P05783
P05067	Q9WV60
P05067	Q2NL51
P00533	P0DP25
P11362	P10767
P11362	P31371
