P38717	P06782
P38995	P38636
P32361	Q00916
P21560	Q00916
P40438	P47093
Q04746	Q12186
P21560	Q07350
P32843	Q07350
P38267	Q07350
P40071	Q07350
Q12431	Q07350
P32522	P32524
P38227	Q02260
P34230	Q02260
P53339	P43321
Q04301	P43321
P47818	P40018
Q08409	P40567
P32522	P40567
P33767	P53620
P39010	P35197
P40576	P48360
P33338	P02568
P33338	P60010
P39010	P18852
P39010	P18851
P39010	P32917
P25365	P21264
Q08269	P32502
Q08269	P40356
Q08269	P48232
P53012	P39011
P32857	P06243
P53740	P06243
P38150	P39110
O93938	P35203
P39734	P17214
P53288	P17214
P38196	P40016
Q12063	P26449
P47069	P17214
P39010	Q12280
P43560	P00331
Q03697	P17214
Q06159	Q99316
P39685	P47042
P46989	P53036
P38247	P40959
P32334	P06100
P38224	P17709
P47069	Q12692
P32361	Q04431
Q04396	P36068
O13550	P40070
P47154	Q06667
O13550	P47093
P32334	P40460
P32500	Q05166
P15380	P47029
Q12251	P25454
P15380	P14908
P15380	P25381
Q99401	P25454
Q06001	P07703
P53047	P38838
P53541	P33757
Q03824	P32916
P32906	P38987
P33754	P38987
Q08931	P38987
Q07824	P15315
P52871	P31688
P33296	Q99395
P38130	P32912
Q12241	P32912
P53142	P32912
P53108	P32912
P53845	P32912
P14359	P32912
Q04767	P32912
Q12016	P32912
Q08743	P32912
Q12215	P53112
P39551	P38316
P39551	P25623
Q12270	P32912
P25371	P23292
P38967	P25651
Q12489	P47976
Q12489	P41913
Q12489	P43619
Q12489	P40366
P32334	P40958
P39685	Q03790
P32500	Q03790
P53835	P13902
P32906	P39014
Q12489	P40439
P32334	Q08962
P53074	P34253
P32564	P53333
Q12174	P25559
P39547	P20486
Q12516	Q03441
Q03944	P46671
P53069	Q12156
Q03944	P53917
Q12240	P36120
Q06681	P89886
P53087	Q06672
Q08001	P53210
P38166	P53244
P53343	P38744
P53717	P38753
P53717	P38763
Q12253	P38751
Q12013	P38815
P38130	P38815
P53108	P38815
P53845	P38815
Q12270	P38815
P40515	P47135
P38247	Q02205
P46972	Q05930
P25351	Q04779
P53726	P53271
Q02725	P38784
P38130	Q06102
P20107	P35719
P38240	P32478
P25385	P01123
P38130	P01123
P32854	P38555
P36125	P38555
Q08931	P38555
P53311	P32793
P33754	P34162
O13554	P47821
P25584	Q12082
P34224	P25657
P53269	P18852
P53039	P25357
P38727	P36129
P38726	Q02204
P32564	Q12223
P40857	P40582
P39515	P47038
O13530	P39534
Q12336	Q04231
Q07914	Q12138
P54837	Q12327
P53633	Q06651
P33338	P15891
P39524	P11076
Q06681	P40485
O13554	P40465
P32854	P01123
Q12270	P01123
P53039	P38191
O13537	P03069
Q08786	Q06096
P39547	P39550
P53171	P47012
P36125	Q02804
P40528	P18851
P22804	P20606
P22804	P15303
P22804	P40482
P25385	P20606
P25385	P15303
P53039	P38555
P22214	P01123
P53039	P01123
Q04338	P36015
Q12255	P36015
P04821	P02829
P04821	P01119
P04821	P01120
P04821	P14771
P04821	P10591
P04821	P10592
P04821	P09435
P40075	P00546
P14906	P16474
Q12328	P32830
P25385	P40482
P39685	P34077
Q12241	P36015
P39515	P12398
P32897	P12398
P32486	P04147
P40073	P08018
P80667	P40155
P80667	P35056
P80667	P39108
P28795	Q07418
P29465	P34226
P33754	P39742
P14906	P39742
P32867	P40357
P31109	P40357
P32854	P18759
P40989	P06780
P32897	Q01852
P40527	P47017
P46971	P47017
P04710	P47017
Q12171	P47017
Q12096	P47017
P40527	P38203
Q08337	P38203
Q04119	P40070
P40538	P40070
P32522	P57743
P12866	P40070
P33894	P40070
P38750	P40089
P12866	P40089
P26725	Q06406
Q04991	Q06406
Q12096	Q06406
P38228	P47093
P39109	P47093
P41544	P47093
P14772	P47093
P40570	P53550
P40576	P53550
P47094	P53550
P36066	P53550
P80667	P53112
P40527	P40089
Q12096	P40089
Q12275	P53550
P11710	Q04964
Q07549	P38764
P22215	P32602
Q03770	P32602
P39734	P32602
Q12516	P32602
Q08650	P32602
Q08931	P32602
Q12436	P32602
P14359	P32790
P33338	P48562
P33338	P53933
P33338	Q12134
P33338	P32793
P39928	P39743
P38921	P35209
P53310	Q02804
Q03691	P32447
P32584	P35817
P50078	P11433
P53721	P53968
P48231	P43639
Q99332	P23287
P40075	P53968
P38130	P39009
Q08908	P40956
P32334	P53858
P46956	Q08227
P46965	Q08227
P11710	Q12280
P38837	Q12446
P14359	Q12446
Q12270	Q12446
Q12324	P39014
P32334	P48562
P53106	P21242
P39718	P20676
P53045	P40316
P25385	P08468
Q07549	P30656
P38880	P15938
P32906	Q03776
Q05787	P06777
P38176	P06777
P32803	P06104
Q12300	P35844
Q12300	P33759
Q12300	P39990
Q12300	Q06160
Q12300	Q12432
Q07549	Q06103
P31379	P0C0X0
P18239	P32602
P40476	P33314
P53979	P25453
P05375	P47050
P38268	P08539
Q12300	P46982
P38740	P08539
Q99332	Q02892
P34237	P06777
Q12300	P25659
Q12300	P40583
P40030	Q02804
P53159	Q04477
P61829	P07251
Q99332	P12612
P33296	P38696
P38329	P30822
P36125	P38163
P32854	P25344
P32563	P25344
P53253	P32908
P53253	P38748
P34237	Q03954
Q07451	P17536
P53253	P32618
P53253	P53900
P53253	P17119
P53253	Q12267
Q04746	P41901
Q04746	P38989
Q04746	P47037
Q04746	P39013
P53253	P39946
P53159	P47149
P81450	P07251
P81450	P00830
P00854	P00830
P61829	P00830
