tmp,nontmp,2,real_label,predict_label,predict
P06213,P27986,1,1,1,0.9468936
P35439,P35609,1,1,0,0.2738283
P19438,P39429,1,1,1,0.72367203
Q4R8W8,Q7LZQ2,0,0,0,0.06481763
P9WJG5,P32832,0,0,0,0.23310277
Q6ZJ91,Q3ZZD0,0,0,0,0.00238333
